"trial_type","trial_index","time_elapsed","internal_node_id","gender","age","attentionScore","participantID","experimentStartTime","experimentEndTime","browser","rt","stimulus","response","trial_category","mobile","success","sizeTempo","colorTempo","rectBaseSize","sizeChangeRate","sizeChangeAmount","rectChangedSize","baseColor","colorHueChangeAmount","colorHueChangeRate","colorChangedColor","sizeChangeLog","colorChangeLog","keypressLog","displayDurationSet","attendedFeature","testedFeaturePair","displayDurationActualized","trial","value"
"pavlovia","0","1595","0.0-0.0","male","45","100","p1.1_67456b8ca7f25ce61e1d6ecd","November 30, 2025 at 11:20 AM","November 30, 2025 at 11:33 AM","{""browser"":""Chrome"",""version"":""142""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","1","7038","0.0-1.0","male","45","100","p1.1_67456b8ca7f25ce61e1d6ecd","November 30, 2025 at 11:20 AM","November 30, 2025 at 11:33 AM","{""browser"":""Chrome"",""version"":""142""}","5439","[""<div class='jspsych-display-element' style='justify-content: center; align-items: center; min-height: 80vh; width: 100%;'><div style='display: inline-block; margin: 0 auto; color: black; font-size: 2.5vh; line-height: 3.2vh; padding: 10px 200px 10px 200px; text-align: left'>Please note that this experiment is only designed to work from a computer or laptop.  Please <strong> do not </strong> continue if you are using a phone, tablet, or other mobile device.  If you are on a phone, tablet or other mobile device you will need to return to Prolific and click \""stop without completing\"".  <br> <br> If you are currently seeing this page from a laptop or computer, please click on the \""Continue\"" button.</div></div>""]","0","introInstructions","false","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","10819","0.0-2.0","male","45","100","p1.1_67456b8ca7f25ce61e1d6ecd","November 30, 2025 at 11:20 AM","November 30, 2025 at 11:33 AM","{""browser"":""Chrome"",""version"":""142""}","3780","<div class='jspsych-display-element' style='justify-content: center; align-items: center; min-height: 80vh; width: 100%;'><div style='display: inline-block; margin: 0 auto; color: black; font-size: 2.5vh; line-height: 3.2vh; padding: 10px 200px 10px 200px; text-align: left'>We wanted to provide a heads-up that the end of the experiment will consist of an anonymous survey with multiple questions. A few questions are open-ended questions where you need to type 1-2 sentences. Sometimes participants do not like answering open-ended questions and tend to quit a survey once they see such questions. <br> <br> If a sizable number of people quit a survey halfway, the responses will no longer be useful. Our research depends on good quality responses. Thus, please make sure you do not mind open-ended questions before continuing with experiment.<br> <br> <p><i><strong>Press 'y'</strong> on your keyboard if you agree to answer the open-ended questions at the end of the experiment.</i><br></div></div>","y","introInstructions","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","23356","0.0-3.0","male","45","100","p1.1_67456b8ca7f25ce61e1d6ecd","November 30, 2025 at 11:20 AM","November 30, 2025 at 11:33 AM","{""browser"":""Chrome"",""version"":""142""}","","","","introInstructions","","true","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","26317","0.0-4.0","male","45","100","p1.1_67456b8ca7f25ce61e1d6ecd","November 30, 2025 at 11:20 AM","November 30, 2025 at 11:33 AM","{""browser"":""Chrome"",""version"":""142""}","2960","<div class='jspsych-display-element' style='justify-content: center; align-items: center; min-height: 80vh; width: 100%;'><div style='display: inline-block; margin: 0 auto; color: black; font-size: 2.5vh; line-height: 3.2vh; padding: 10px 200px 10px 200px; text-align: left'>Hello! Thank you for volunteering to help out with our study. Please take a moment to adjust your seating so that you can comfortably watch the monitor and use the keyboard. Feel free to dim the lights as well.<br><br>Close the door or do whatever is necessary to <b>minimize disturbance during the experiment</b>. Please also take a moment to silence your phone so that you are not interrupted by any messages mid-experiment. Do not switch to any other tabs or windows until you are complete.<br><br>We will now go over the instructions. Please read these carefully, as you will not be able to complete this experiment without following them precisely.<br><br>A ""Next"" button will appear at the bottom of the screen on each page. This button will be greyed out at the beginning and will be activated after a few seconds (giving you time to read the instructions on each page). Please read everything on each page carefully before clicking on the ""Next"" button to continue to the next page.</div></div>","0","introInstructions","","","","","","","","","","","","","","","","","","","","",""
"instructionPractice","5","36576","0.0-5.0","male","45","100","p1.1_67456b8ca7f25ce61e1d6ecd","November 30, 2025 at 11:20 AM","November 30, 2025 at 11:33 AM","{""browser"":""Chrome"",""version"":""142""}","","","","introInstructions","","","999999","300","[50,100]","1.2","[10,20]","[60,120]","hsl(210, 100%, 50%)","80","2.625","hsl(290, 100%, 50%)","[]","[{""timeMs"":301,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":601,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":901,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":1217,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":1534,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":1834,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":2151,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":2451,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":2767,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":3068,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":3384,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":3684,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":3984,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":4284,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":4601,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":4901,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":5201,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":5501,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":5801,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":6101,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":6401,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":6701,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":7001,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":7301,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":7618,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":7918,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":8218,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":8518,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":8818,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":9134,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":9435,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":9751,""colorHsl"":""hsl(210, 100%, 50%)""}]","[]","5000","","","","",""
"instructionPractice","6","44389","0.0-6.0","male","45","100","p1.1_67456b8ca7f25ce61e1d6ecd","November 30, 2025 at 11:20 AM","November 30, 2025 at 11:33 AM","{""browser"":""Chrome"",""version"":""142""}","","","","introInstructions","","","300","999999","[50,100]","1.2","[10,20]","[60,120]","hsl(210, 100%, 50%)","80","2.625","hsl(290, 100%, 50%)","[{""timeMs"":312,""rectSize"":[60,120]},{""timeMs"":612,""rectSize"":[50,100]},{""timeMs"":928,""rectSize"":[60,120]},{""timeMs"":1228,""rectSize"":[50,100]},{""timeMs"":1545,""rectSize"":[60,120]},{""timeMs"":1845,""rectSize"":[50,100]},{""timeMs"":2162,""rectSize"":[60,120]},{""timeMs"":2479,""rectSize"":[50,100]},{""timeMs"":2795,""rectSize"":[60,120]},{""timeMs"":3095,""rectSize"":[50,100]},{""timeMs"":3395,""rectSize"":[60,120]},{""timeMs"":3695,""rectSize"":[50,100]},{""timeMs"":3995,""rectSize"":[60,120]},{""timeMs"":4295,""rectSize"":[50,100]},{""timeMs"":4595,""rectSize"":[60,120]},{""timeMs"":4895,""rectSize"":[50,100]},{""timeMs"":5195,""rectSize"":[60,120]},{""timeMs"":5495,""rectSize"":[50,100]},{""timeMs"":5795,""rectSize"":[60,120]},{""timeMs"":6112,""rectSize"":[50,100]},{""timeMs"":6429,""rectSize"":[60,120]},{""timeMs"":6729,""rectSize"":[50,100]},{""timeMs"":7029,""rectSize"":[60,120]},{""timeMs"":7329,""rectSize"":[50,100]},{""timeMs"":7645,""rectSize"":[60,120]}]","[]","[]","5000","","","","",""
"html-button-response","7","51785","0.0-7.0","male","45","100","p1.1_67456b8ca7f25ce61e1d6ecd","November 30, 2025 at 11:20 AM","November 30, 2025 at 11:33 AM","{""browser"":""Chrome"",""version"":""142""}","7394","<div class='jspsych-display-element' style='justify-content: center; align-items: center; min-height: 80vh; width: 100%;'><div style='display: inline-block; margin: 0 auto; color: black; font-size: 2.5vh; line-height: 3.2vh; padding: 10px 200px 10px 200px; text-align: left'>In the examples so far, the rectangle alternated only one feature at a time (either its color or its size) rhythmically. In the actual experiment, both the color and the size will alternate together.<br><br>Let's see an example of this on the next page.</div></div>","0","introInstructions","","","","","","","","","","","","","","","","","","","","",""
"rhytmicFeatureChangeTask","8","60191","0.0-8.0","male","45","100","p1.1_67456b8ca7f25ce61e1d6ecd","November 30, 2025 at 11:20 AM","November 30, 2025 at 11:33 AM","{""browser"":""Chrome"",""version"":""142""}","","","","introInstructions","","","320","280","[50,100]","1.2","[10,20]","[60,120]","hsl(210, 100%, 50%)","80","2.625","hsl(290, 100%, 50%)","[{""timeMs"":335,""rectSize"":[60,120]},{""timeMs"":668,""rectSize"":[50,100]},{""timeMs"":1002,""rectSize"":[60,120]},{""timeMs"":1335,""rectSize"":[50,100]},{""timeMs"":1668,""rectSize"":[60,120]},{""timeMs"":2002,""rectSize"":[50,100]},{""timeMs"":2335,""rectSize"":[60,120]},{""timeMs"":2668,""rectSize"":[50,100]},{""timeMs"":3002,""rectSize"":[60,120]},{""timeMs"":3335,""rectSize"":[50,100]},{""timeMs"":3668,""rectSize"":[60,120]},{""timeMs"":4002,""rectSize"":[50,100]},{""timeMs"":4335,""rectSize"":[60,120]},{""timeMs"":4669,""rectSize"":[50,100]},{""timeMs"":5002,""rectSize"":[60,120]},{""timeMs"":5335,""rectSize"":[50,100]},{""timeMs"":5669,""rectSize"":[60,120]},{""timeMs"":6002,""rectSize"":[50,100]},{""timeMs"":6335,""rectSize"":[60,120]},{""timeMs"":6669,""rectSize"":[50,100]},{""timeMs"":7002,""rectSize"":[60,120]},{""timeMs"":7335,""rectSize"":[50,100]},{""timeMs"":7669,""rectSize"":[60,120]}]","[{""timeMs"":285,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":568,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":852,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":1135,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":1418,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":1702,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":1985,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":2268,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":2552,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":2835,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":3118,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":3402,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":3685,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":3969,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":4252,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":4535,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":4819,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":5102,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":5385,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":5669,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":5952,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":6235,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":6519,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":6802,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":7085,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":7369,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":7652,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":7935,""colorHsl"":""hsl(210, 100%, 50%)""}]","[]","8000","color","color-size","8001.8","",""
"html-button-response","9","81836","0.0-9.0","male","45","100","p1.1_67456b8ca7f25ce61e1d6ecd","November 30, 2025 at 11:20 AM","November 30, 2025 at 11:33 AM","{""browser"":""Chrome"",""version"":""142""}","21644","<div class='jspsych-display-element' style='justify-content: center; align-items: center; min-height: 80vh; width: 100%;'><div style='display: inline-block; margin: 0 auto; color: black; font-size: 2.5vh; line-height: 3.2vh; padding: 10px 200px 10px 200px; text-align: left'>At the beginning of each display, you will be told which feature (color or size) to pay attention to. That is the feature you must keep track of (that feature's rhytmic changes). Whenever the instructed feature changes, you should respond by pressing the Space key. You must try to ignore the other feature, even though it may also be changing at the same time.<br><br>If you are instructed to pay attention to the color, you should press the Space key every time the rectangle changes to purple, and you should try to ignore any size changes throughout the whole display. If you are instructed to pay attention to the size, you should press the Space key every time the rectangle grows larger, and you should try to ignore color changes.<br><br>Because the alternations can be quite fast, you should try to press the Space key as quickly as possible when the relevant change occurs.<br><br>Let's practice first with the color feature.</div></div>","0","instructions","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","10","88433","0.0-10.0","male","45","100","p1.1_67456b8ca7f25ce61e1d6ecd","November 30, 2025 at 11:20 AM","November 30, 2025 at 11:33 AM","{""browser"":""Chrome"",""version"":""142""}","6190","<div class='jspsych-display-element' style='justify-content: center; align-items: center; min-height: 80vh; width: 100%;'><div style='display: inline-block; margin: 0 auto; color: black; font-size: 2.5vh; line-height: 3.2vh; padding: 10px 200px 10px 200px; text-align: left'>Pay attention to the <b>Color</b> change (press the Space key everytime the rectangle turns purple as soon as possible) and ignore the <b>Size</b> change.<br><br>Click on the 'Start' button to start the display. Since the display will start immediately,you should be ready to press the 'Space' key as soon as the rectangle starts alternating its color.</div></div>","0","introInstructions","","","","","","","","","","","","","","","","","","","","",""
