"trial_type","trial_index","time_elapsed","internal_node_id","gender","age","attentionScore","participantID","experimentStartTime","experimentEndTime","browser","rt","stimulus","response","trial_category","mobile","success","sizeTempo","colorTempo","rectBaseSize","sizeChangeRate","sizeChangeAmount","rectChangedSize","baseColor","colorHueChangeAmount","colorHueChangeRate","colorChangedColor","sizeChangeLog","colorChangeLog","keypressLog","displayDurationSet","attendedFeature","testedFeaturePair","displayDurationActualized","trial","value"
"pavlovia","0","1480","0.0-0.0","female","62","89","p1.1_6637b21240220c2517fffa1a","November 29, 2025 at 3:36 PM","November 29, 2025 at 3:52 PM","{""browser"":""Chrome"",""version"":""142""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","1","6636","0.0-1.0","female","62","89","p1.1_6637b21240220c2517fffa1a","November 29, 2025 at 3:36 PM","November 29, 2025 at 3:52 PM","{""browser"":""Chrome"",""version"":""142""}","5153","[""<div class='jspsych-display-element' style='justify-content: center; align-items: center; min-height: 80vh; width: 100%;'><div style='display: inline-block; margin: 0 auto; color: black; font-size: 2.5vh; line-height: 3.2vh; padding: 10px 200px 10px 200px; text-align: left'>Please note that this experiment is only designed to work from a computer or laptop.  Please <strong> do not </strong> continue if you are using a phone, tablet, or other mobile device.  If you are on a phone, tablet or other mobile device you will need to return to Prolific and click \""stop without completing\"".  <br> <br> If you are currently seeing this page from a laptop or computer, please click on the \""Continue\"" button.</div></div>""]","0","introInstructions","false","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","23225","0.0-2.0","female","62","89","p1.1_6637b21240220c2517fffa1a","November 29, 2025 at 3:36 PM","November 29, 2025 at 3:52 PM","{""browser"":""Chrome"",""version"":""142""}","16588","<div class='jspsych-display-element' style='justify-content: center; align-items: center; min-height: 80vh; width: 100%;'><div style='display: inline-block; margin: 0 auto; color: black; font-size: 2.5vh; line-height: 3.2vh; padding: 10px 200px 10px 200px; text-align: left'>We wanted to provide a heads-up that the end of the experiment will consist of an anonymous survey with multiple questions. A few questions are open-ended questions where you need to type 1-2 sentences. Sometimes participants do not like answering open-ended questions and tend to quit a survey once they see such questions. <br> <br> If a sizable number of people quit a survey halfway, the responses will no longer be useful. Our research depends on good quality responses. Thus, please make sure you do not mind open-ended questions before continuing with experiment.<br> <br> <p><i><strong>Press 'y'</strong> on your keyboard if you agree to answer the open-ended questions at the end of the experiment.</i><br></div></div>","y","introInstructions","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","35136","0.0-3.0","female","62","89","p1.1_6637b21240220c2517fffa1a","November 29, 2025 at 3:36 PM","November 29, 2025 at 3:52 PM","{""browser"":""Chrome"",""version"":""142""}","","","","introInstructions","","true","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","78953","0.0-4.0","female","62","89","p1.1_6637b21240220c2517fffa1a","November 29, 2025 at 3:36 PM","November 29, 2025 at 3:52 PM","{""browser"":""Chrome"",""version"":""142""}","43815","<div class='jspsych-display-element' style='justify-content: center; align-items: center; min-height: 80vh; width: 100%;'><div style='display: inline-block; margin: 0 auto; color: black; font-size: 2.5vh; line-height: 3.2vh; padding: 10px 200px 10px 200px; text-align: left'>Hello! Thank you for volunteering to help out with our study. Please take a moment to adjust your seating so that you can comfortably watch the monitor and use the keyboard. Feel free to dim the lights as well.<br><br>Close the door or do whatever is necessary to <b>minimize disturbance during the experiment</b>. Please also take a moment to silence your phone so that you are not interrupted by any messages mid-experiment. Do not switch to any other tabs or windows until you are complete.<br><br>We will now go over the instructions. Please read these carefully, as you will not be able to complete this experiment without following them precisely.<br><br>A ""Next"" button will appear at the bottom of the screen on each page. This button will be greyed out at the beginning and will be activated after a few seconds (giving you time to read the instructions on each page). Please read everything on each page carefully before clicking on the ""Next"" button to continue to the next page.</div></div>","0","introInstructions","","","","","","","","","","","","","","","","","","","","",""
"instructionPractice","5","91003","0.0-5.0","female","62","89","p1.1_6637b21240220c2517fffa1a","November 29, 2025 at 3:36 PM","November 29, 2025 at 3:52 PM","{""browser"":""Chrome"",""version"":""142""}","","","","introInstructions","","","999999","300","[50,100]","1.2","[10,20]","[60,120]","hsl(210, 100%, 50%)","80","2.625","hsl(290, 100%, 50%)","[]","[{""timeMs"":315,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":615,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":915,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":1215,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":1531,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":1831,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":2148,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":2465,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":2765,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":3081,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":3381,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":3681,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":3982,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":4282,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":4582,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":4882,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":5182,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":5498,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":5798,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":6098,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":6415,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":6732,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":7032,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":7348,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":7648,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":7948,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":8248,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":8548,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":8865,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":9165,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":9465,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":9765,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":10082,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":10382,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":10682,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":10982,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":11298,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":11615,""colorHsl"":""hsl(210, 100%, 50%)""}]","[]","5000","","","","",""
"instructionPractice","6","99534","0.0-6.0","female","62","89","p1.1_6637b21240220c2517fffa1a","November 29, 2025 at 3:36 PM","November 29, 2025 at 3:52 PM","{""browser"":""Chrome"",""version"":""142""}","","","","introInstructions","","","300","999999","[50,100]","1.2","[10,20]","[60,120]","hsl(210, 100%, 50%)","80","2.625","hsl(290, 100%, 50%)","[{""timeMs"":301,""rectSize"":[60,120]},{""timeMs"":601,""rectSize"":[50,100]},{""timeMs"":901,""rectSize"":[60,120]},{""timeMs"":1218,""rectSize"":[50,100]},{""timeMs"":1518,""rectSize"":[60,120]},{""timeMs"":1834,""rectSize"":[50,100]},{""timeMs"":2134,""rectSize"":[60,120]},{""timeMs"":2434,""rectSize"":[50,100]},{""timeMs"":2734,""rectSize"":[60,120]},{""timeMs"":3034,""rectSize"":[50,100]},{""timeMs"":3351,""rectSize"":[60,120]},{""timeMs"":3651,""rectSize"":[50,100]},{""timeMs"":3951,""rectSize"":[60,120]},{""timeMs"":4251,""rectSize"":[50,100]},{""timeMs"":4551,""rectSize"":[60,120]},{""timeMs"":4868,""rectSize"":[50,100]},{""timeMs"":5168,""rectSize"":[60,120]},{""timeMs"":5468,""rectSize"":[50,100]},{""timeMs"":5784,""rectSize"":[60,120]},{""timeMs"":6084,""rectSize"":[50,100]},{""timeMs"":6384,""rectSize"":[60,120]},{""timeMs"":6701,""rectSize"":[50,100]},{""timeMs"":7001,""rectSize"":[60,120]},{""timeMs"":7301,""rectSize"":[50,100]},{""timeMs"":7601,""rectSize"":[60,120]},{""timeMs"":7917,""rectSize"":[50,100]},{""timeMs"":8234,""rectSize"":[60,120]}]","[]","[]","5000","","","","",""
"html-button-response","7","111051","0.0-7.0","female","62","89","p1.1_6637b21240220c2517fffa1a","November 29, 2025 at 3:36 PM","November 29, 2025 at 3:52 PM","{""browser"":""Chrome"",""version"":""142""}","11516","<div class='jspsych-display-element' style='justify-content: center; align-items: center; min-height: 80vh; width: 100%;'><div style='display: inline-block; margin: 0 auto; color: black; font-size: 2.5vh; line-height: 3.2vh; padding: 10px 200px 10px 200px; text-align: left'>In the examples so far, the rectangle alternated only one feature at a time (either its color or its size) rhythmically. In the actual experiment, both the color and the size will alternate together.<br><br>Let's see an example of this on the next page.</div></div>","0","introInstructions","","","","","","","","","","","","","","","","","","","","",""
"rhytmicFeatureChangeTask","8","119456","0.0-8.0","female","62","89","p1.1_6637b21240220c2517fffa1a","November 29, 2025 at 3:36 PM","November 29, 2025 at 3:52 PM","{""browser"":""Chrome"",""version"":""142""}","","","","introInstructions","","","320","280","[50,100]","1.2","[10,20]","[60,120]","hsl(210, 100%, 50%)","80","2.625","hsl(290, 100%, 50%)","[{""timeMs"":336,""rectSize"":[60,120]},{""timeMs"":669,""rectSize"":[50,100]},{""timeMs"":1002,""rectSize"":[60,120]},{""timeMs"":1336,""rectSize"":[50,100]},{""timeMs"":1669,""rectSize"":[60,120]},{""timeMs"":2002,""rectSize"":[50,100]},{""timeMs"":2336,""rectSize"":[60,120]},{""timeMs"":2669,""rectSize"":[50,100]},{""timeMs"":3002,""rectSize"":[60,120]},{""timeMs"":3336,""rectSize"":[50,100]},{""timeMs"":3669,""rectSize"":[60,120]},{""timeMs"":4003,""rectSize"":[50,100]},{""timeMs"":4336,""rectSize"":[60,120]},{""timeMs"":4669,""rectSize"":[50,100]},{""timeMs"":5003,""rectSize"":[60,120]},{""timeMs"":5336,""rectSize"":[50,100]},{""timeMs"":5669,""rectSize"":[60,120]},{""timeMs"":6002,""rectSize"":[50,100]},{""timeMs"":6336,""rectSize"":[60,120]},{""timeMs"":6669,""rectSize"":[50,100]},{""timeMs"":7002,""rectSize"":[60,120]},{""timeMs"":7336,""rectSize"":[50,100]},{""timeMs"":7669,""rectSize"":[60,120]}]","[{""timeMs"":286,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":569,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":852,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":1136,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":1419,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":1702,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":1986,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":2269,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":2552,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":2836,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":3119,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":3402,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":3686,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":3969,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":4253,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":4535,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":4819,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":5103,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":5386,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":5669,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":5952,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":6236,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":6519,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":6802,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":7086,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":7369,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":7653,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":7936,""colorHsl"":""hsl(210, 100%, 50%)""}]","[]","8000","color","color-size","8002.6","",""
"html-button-response","9","163569","0.0-9.0","female","62","89","p1.1_6637b21240220c2517fffa1a","November 29, 2025 at 3:36 PM","November 29, 2025 at 3:52 PM","{""browser"":""Chrome"",""version"":""142""}","44112","<div class='jspsych-display-element' style='justify-content: center; align-items: center; min-height: 80vh; width: 100%;'><div style='display: inline-block; margin: 0 auto; color: black; font-size: 2.5vh; line-height: 3.2vh; padding: 10px 200px 10px 200px; text-align: left'>At the beginning of each display, you will be told which feature (color or size) to pay attention to. That is the feature you must keep track of (that feature's rhytmic changes). Whenever the instructed feature changes, you should respond by pressing the Space key. You must try to ignore the other feature, even though it may also be changing at the same time.<br><br>If you are instructed to pay attention to the color, you should press the Space key every time the rectangle changes to purple, and you should try to ignore any size changes throughout the whole display. If you are instructed to pay attention to the size, you should press the Space key every time the rectangle grows larger, and you should try to ignore color changes.<br><br>Because the alternations can be quite fast, you should try to press the Space key as quickly as possible when the relevant change occurs.<br><br>Let's practice first with the color feature.</div></div>","0","instructions","","","","","","","","","","","","","","","","","","","","",""
