"trial_type","trial_index","time_elapsed","internal_node_id","gender","age","attentionScore","participantID","experimentStartTime","experimentEndTime","browser","rt","stimulus","response","trial_category","mobile","success","sizeTempo","colorTempo","rectBaseSize","sizeChangeRate","sizeChangeAmount","rectChangedSize","baseColor","colorHueChangeAmount","colorHueChangeRate","colorChangedColor","sizeChangeLog","colorChangeLog","keypressLog","displayDurationSet","attendedFeature","testedFeaturePair","displayDurationActualized","trial","value"
"pavlovia","0","1201","0.0-0.0","male","29","100","p1.1_666149cb6a138209b157427b","November 30, 2025 at 11:30 AM","November 30, 2025 at 11:53 AM","{""browser"":""Chrome"",""version"":""142""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","1","9253","0.0-1.0","male","29","100","p1.1_666149cb6a138209b157427b","November 30, 2025 at 11:30 AM","November 30, 2025 at 11:53 AM","{""browser"":""Chrome"",""version"":""142""}","8051","[""<div class='jspsych-display-element' style='justify-content: center; align-items: center; min-height: 80vh; width: 100%;'><div style='display: inline-block; margin: 0 auto; color: black; font-size: 2.5vh; line-height: 3.2vh; padding: 10px 200px 10px 200px; text-align: left'>Please note that this experiment is only designed to work from a computer or laptop.  Please <strong> do not </strong> continue if you are using a phone, tablet, or other mobile device.  If you are on a phone, tablet or other mobile device you will need to return to Prolific and click \""stop without completing\"".  <br> <br> If you are currently seeing this page from a laptop or computer, please click on the \""Continue\"" button.</div></div>""]","0","introInstructions","false","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","12254","0.0-2.0","male","29","100","p1.1_666149cb6a138209b157427b","November 30, 2025 at 11:30 AM","November 30, 2025 at 11:53 AM","{""browser"":""Chrome"",""version"":""142""}","3000","<div class='jspsych-display-element' style='justify-content: center; align-items: center; min-height: 80vh; width: 100%;'><div style='display: inline-block; margin: 0 auto; color: black; font-size: 2.5vh; line-height: 3.2vh; padding: 10px 200px 10px 200px; text-align: left'>We wanted to provide a heads-up that the end of the experiment will consist of an anonymous survey with multiple questions. A few questions are open-ended questions where you need to type 1-2 sentences. Sometimes participants do not like answering open-ended questions and tend to quit a survey once they see such questions. <br> <br> If a sizable number of people quit a survey halfway, the responses will no longer be useful. Our research depends on good quality responses. Thus, please make sure you do not mind open-ended questions before continuing with experiment.<br> <br> <p><i><strong>Press 'y'</strong> on your keyboard if you agree to answer the open-ended questions at the end of the experiment.</i><br></div></div>","y","introInstructions","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","15917","0.0-3.0","male","29","100","p1.1_666149cb6a138209b157427b","November 30, 2025 at 11:30 AM","November 30, 2025 at 11:53 AM","{""browser"":""Chrome"",""version"":""142""}","","","","introInstructions","","true","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","17276","0.0-4.0","male","29","100","p1.1_666149cb6a138209b157427b","November 30, 2025 at 11:30 AM","November 30, 2025 at 11:53 AM","{""browser"":""Chrome"",""version"":""142""}","1359","<div class='jspsych-display-element' style='justify-content: center; align-items: center; min-height: 80vh; width: 100%;'><div style='display: inline-block; margin: 0 auto; color: black; font-size: 2.5vh; line-height: 3.2vh; padding: 10px 200px 10px 200px; text-align: left'>Hello! Thank you for volunteering to help out with our study. Please take a moment to adjust your seating so that you can comfortably watch the monitor and use the keyboard. Feel free to dim the lights as well.<br><br>Close the door or do whatever is necessary to <b>minimize disturbance during the experiment</b>. Please also take a moment to silence your phone so that you are not interrupted by any messages mid-experiment. Do not switch to any other tabs or windows until you are complete.<br><br>We will now go over the instructions. Please read these carefully, as you will not be able to complete this experiment without following them precisely.<br><br>A ""Next"" button will appear at the bottom of the screen on each page. This button will be greyed out at the beginning and will be activated after a few seconds (giving you time to read the instructions on each page). Please read everything on each page carefully before clicking on the ""Next"" button to continue to the next page.</div></div>","0","introInstructions","","","","","","","","","","","","","","","","","","","","",""
"instructionPractice","5","19124","0.0-5.0","male","29","100","p1.1_666149cb6a138209b157427b","November 30, 2025 at 11:30 AM","November 30, 2025 at 11:53 AM","{""browser"":""Chrome"",""version"":""142""}","","","","introInstructions","","","999999","300","[50,100]","1.2","[10,20]","[60,120]","hsl(210, 100%, 50%)","80","2.625","hsl(290, 100%, 50%)","[]","[{""timeMs"":303,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":619,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":936,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":1252,""colorHsl"":""hsl(210, 100%, 50%)""}]","[]","5000","","","","",""
"instructionPractice","6","22716","0.0-6.0","male","29","100","p1.1_666149cb6a138209b157427b","November 30, 2025 at 11:30 AM","November 30, 2025 at 11:53 AM","{""browser"":""Chrome"",""version"":""142""}","","","","introInstructions","","","300","999999","[50,100]","1.2","[10,20]","[60,120]","hsl(210, 100%, 50%)","80","2.625","hsl(290, 100%, 50%)","[{""timeMs"":305,""rectSize"":[60,120]},{""timeMs"":621,""rectSize"":[50,100]},{""timeMs"":938,""rectSize"":[60,120]},{""timeMs"":1254,""rectSize"":[50,100]},{""timeMs"":1571,""rectSize"":[60,120]},{""timeMs"":1887,""rectSize"":[50,100]},{""timeMs"":2203,""rectSize"":[60,120]},{""timeMs"":2520,""rectSize"":[50,100]},{""timeMs"":2836,""rectSize"":[60,120]},{""timeMs"":3153,""rectSize"":[50,100]},{""timeMs"":3469,""rectSize"":[60,120]}]","[]","[]","5000","","","","",""
"html-button-response","7","23684","0.0-7.0","male","29","100","p1.1_666149cb6a138209b157427b","November 30, 2025 at 11:30 AM","November 30, 2025 at 11:53 AM","{""browser"":""Chrome"",""version"":""142""}","967","<div class='jspsych-display-element' style='justify-content: center; align-items: center; min-height: 80vh; width: 100%;'><div style='display: inline-block; margin: 0 auto; color: black; font-size: 2.5vh; line-height: 3.2vh; padding: 10px 200px 10px 200px; text-align: left'>In the examples so far, the rectangle alternated only one feature at a time (either its color or its size) rhythmically. In the actual experiment, both the color and the size will alternate together.<br><br>Let's see an example of this on the next page.</div></div>","0","introInstructions","","","","","","","","","","","","","","","","","","","","",""
"rhytmicFeatureChangeTask","8","32094","0.0-8.0","male","29","100","p1.1_666149cb6a138209b157427b","November 30, 2025 at 11:30 AM","November 30, 2025 at 11:53 AM","{""browser"":""Chrome"",""version"":""142""}","","","","introInstructions","","","320","280","[50,100]","1.2","[10,20]","[60,120]","hsl(210, 100%, 50%)","80","2.625","hsl(290, 100%, 50%)","[{""timeMs"":331,""rectSize"":[60,120]},{""timeMs"":664,""rectSize"":[50,100]},{""timeMs"":997,""rectSize"":[60,120]},{""timeMs"":1330,""rectSize"":[50,100]},{""timeMs"":1663,""rectSize"":[60,120]},{""timeMs"":1996,""rectSize"":[50,100]},{""timeMs"":2329,""rectSize"":[60,120]},{""timeMs"":2662,""rectSize"":[50,100]},{""timeMs"":2995,""rectSize"":[60,120]},{""timeMs"":3328,""rectSize"":[50,100]},{""timeMs"":3661,""rectSize"":[60,120]},{""timeMs"":3994,""rectSize"":[50,100]},{""timeMs"":4327,""rectSize"":[60,120]},{""timeMs"":4661,""rectSize"":[50,100]},{""timeMs"":4994,""rectSize"":[60,120]},{""timeMs"":5327,""rectSize"":[50,100]},{""timeMs"":5660,""rectSize"":[60,120]},{""timeMs"":5993,""rectSize"":[50,100]},{""timeMs"":6326,""rectSize"":[60,120]},{""timeMs"":6659,""rectSize"":[50,100]},{""timeMs"":6992,""rectSize"":[60,120]},{""timeMs"":7325,""rectSize"":[50,100]},{""timeMs"":7658,""rectSize"":[60,120]},{""timeMs"":7991,""rectSize"":[50,100]}]","[{""timeMs"":281,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":564,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":847,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":1130,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":1413,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":1696,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":1980,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":2263,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":2546,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":2829,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":3112,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":3395,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":3678,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":3961,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":4244,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":4527,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":4810,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":5094,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":5377,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":5660,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":5943,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":6226,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":6509,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":6792,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":7075,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":7358,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":7641,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":7924,""colorHsl"":""hsl(210, 100%, 50%)""}]","[]","8000","color","color-size","8007.6","",""
"html-button-response","9","33028","0.0-9.0","male","29","100","p1.1_666149cb6a138209b157427b","November 30, 2025 at 11:30 AM","November 30, 2025 at 11:53 AM","{""browser"":""Chrome"",""version"":""142""}","933","<div class='jspsych-display-element' style='justify-content: center; align-items: center; min-height: 80vh; width: 100%;'><div style='display: inline-block; margin: 0 auto; color: black; font-size: 2.5vh; line-height: 3.2vh; padding: 10px 200px 10px 200px; text-align: left'>At the beginning of each display, you will be told which feature (color or size) to pay attention to. That is the feature you must keep track of (that feature's rhytmic changes). Whenever the instructed feature changes, you should respond by pressing the Space key. You must try to ignore the other feature, even though it may also be changing at the same time.<br><br>If you are instructed to pay attention to the color, you should press the Space key every time the rectangle changes to purple, and you should try to ignore any size changes throughout the whole display. If you are instructed to pay attention to the size, you should press the Space key every time the rectangle grows larger, and you should try to ignore color changes.<br><br>Because the alternations can be quite fast, you should try to press the Space key as quickly as possible when the relevant change occurs.<br><br>Let's practice first with the color feature.</div></div>","0","instructions","","","","","","","","","","","","","","","","","","","","",""
